Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-07 10:00:00+00:00,76125.984375,77456.6875,76125.984375,76874.671875,0,0.0,0.0
2025-04-07 11:00:00+00:00,76938.1953125,77315.109375,76445.78125,76615.1015625,1969881088,0.0,0.0
2025-04-07 12:00:00+00:00,76635.1015625,77570.8359375,76449.859375,77292.4453125,4382883840,0.0,0.0
2025-04-07 13:00:00+00:00,77241.8046875,78259.15625,75888.9140625,78259.15625,1150590976,0.0,0.0
2025-04-07 14:00:00+00:00,78373.0234375,81111.015625,77938.2109375,78970.8359375,14757781504,0.0,0.0
2025-04-07 15:00:00+00:00,79031.8359375,79242.484375,77934.65625,78683.6015625,5676908544,0.0,0.0
2025-04-07 16:00:00+00:00,78457.703125,78486.265625,77345.265625,77345.265625,859406336,0.0,0.0
2025-04-07 17:00:00+00:00,77409.65625,79064.859375,77409.65625,79064.859375,426115072,0.0,0.0
2025-04-07 18:00:00+00:00,79046.125,79222.3203125,78321.78125,78321.78125,0,0.0,0.0
2025-04-07 19:00:00+00:00,78473.3359375,78822.96875,78087.6953125,78234.46875,0,0.0,0.0
2025-04-07 20:00:00+00:00,78064.828125,79048.3515625,78064.828125,78813.859375,0,0.0,0.0
2025-04-07 21:00:00+00:00,78908.46875,79447.1875,78669.078125,79300.4921875,0,0.0,0.0
2025-04-07 22:00:00+00:00,79183.2265625,80163.1171875,79183.2265625,79993.53125,0,0.0,0.0
2025-04-07 23:00:00+00:00,79929.4375,80022.75,79133.5,79133.5,0,0.0,0.0
2025-04-08 00:00:00+00:00,79140.75,79523.234375,79061.53125,79061.53125,0,0.0,0.0
2025-04-08 01:00:00+00:00,78994.703125,80726.1640625,78960.1796875,80670.8671875,274046976,0.0,0.0
2025-04-08 02:00:00+00:00,80572.8046875,80823.890625,79891.25,79891.25,0,0.0,0.0
2025-04-08 03:00:00+00:00,79913.890625,80135.5859375,79767.71875,79824.203125,0,0.0,0.0
2025-04-08 04:00:00+00:00,79871.03125,80328.3515625,79845.5859375,80279.2109375,0,0.0,0.0
2025-04-08 05:00:00+00:00,80279.453125,80279.453125,79571.4765625,79817.7578125,0,0.0,0.0
2025-04-08 06:00:00+00:00,79785.828125,79785.828125,79309.9453125,79451.9609375,0,0.0,0.0
2025-04-08 07:00:00+00:00,79438.6171875,79660.328125,79252.625,79475.4921875,0,0.0,0.0
2025-04-08 08:00:00+00:00,79471.5625,79478.328125,78948.859375,79131.9453125,0,0.0,0.0
2025-04-08 09:00:00+00:00,79125.2421875,79146.3671875,78854.5390625,78946.40625,0,0.0,0.0
2025-04-08 10:00:00+00:00,78906.515625,79151.3203125,78843.546875,78961.6796875,0,0.0,0.0
2025-04-08 11:00:00+00:00,78969.03125,79877.5,78969.03125,79869.5703125,0,0.0,0.0
2025-04-08 12:00:00+00:00,79964.4609375,80102.0390625,79612.375,79842.171875,0,0.0,0.0
2025-04-08 13:00:00+00:00,79822.59375,80215.0234375,79503.0546875,79938.78125,0,0.0,0.0
2025-04-08 14:00:00+00:00,79913.2734375,80197.1328125,78530.4765625,78530.4765625,0,0.0,0.0
2025-04-08 15:00:00+00:00,78456.703125,78738.390625,78179.15625,78486.2109375,0,0.0,0.0
2025-04-08 16:00:00+00:00,78467.6171875,78467.6171875,77341.0,77427.8046875,0,0.0,0.0
2025-04-08 17:00:00+00:00,77306.390625,77367.7734375,76529.359375,77295.171875,0,0.0,0.0
2025-04-08 18:00:00+00:00,77288.375,77662.1796875,77096.7734375,77226.828125,0,0.0,0.0
2025-04-08 19:00:00+00:00,77238.484375,77287.09375,76331.171875,76786.71875,627417088,0.0,0.0
2025-04-08 20:00:00+00:00,76826.328125,77118.375,76575.5546875,77014.8203125,350687232,0.0,0.0
2025-04-08 21:00:00+00:00,77031.6796875,77184.7109375,76700.4375,77004.3671875,0,0.0,0.0
2025-04-08 22:00:00+00:00,76945.140625,76945.140625,76222.8515625,76719.9765625,0,0.0,0.0
2025-04-08 23:00:00+00:00,76662.734375,76696.8359375,76253.453125,76261.375,0,0.0,0.0
2025-04-09 00:00:00+00:00,76261.1015625,76724.09375,76026.6875,76443.7421875,549027840,0.0,0.0
2025-04-09 01:00:00+00:00,76447.3359375,76502.4453125,74627.609375,75992.8359375,2251644928,0.0,0.0
2025-04-09 02:00:00+00:00,76021.21875,76278.2734375,75568.7109375,75568.7109375,328867840,0.0,0.0
2025-04-09 03:00:00+00:00,75652.0859375,75785.4765625,75003.03125,75003.03125,640184320,0.0,0.0
2025-04-09 04:00:00+00:00,75015.4921875,76786.8125,75015.4921875,76316.8671875,2146983936,0.0,0.0
2025-04-09 05:00:00+00:00,76362.203125,76695.515625,76229.8984375,76621.6484375,435314688,0.0,0.0
