Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-07 00:00:00+00:00,585.966796875,590.8859252929688,578.7191162109375,584.1021728515625,1374676397,0.0,0.0
2024-04-08 00:00:00+00:00,584.1021728515625,600.8928833007812,577.9833374023438,586.9009399414062,1739232272,0.0,0.0
2024-04-09 00:00:00+00:00,586.9009399414062,589.666748046875,574.1403198242188,580.830322265625,1988165022,0.0,0.0
2024-04-10 00:00:00+00:00,580.830322265625,610.4829711914062,574.46142578125,610.0839233398438,1654268255,0.0,0.0
2024-04-11 00:00:00+00:00,610.0839233398438,617.4686279296875,592.6021728515625,604.893798828125,1299527568,0.0,0.0
2024-04-12 00:00:00+00:00,604.893798828125,626.9840698242188,575.5808715820312,596.380126953125,2619549858,0.0,0.0
2024-04-13 00:00:00+00:00,596.3749389648438,599.8919677734375,517.2700805664062,554.2998046875,2660310655,0.0,0.0
2024-04-14 00:00:00+00:00,554.2998046875,570.257568359375,537.1805419921875,567.2184448242188,1724305772,0.0,0.0
2024-04-15 00:00:00+00:00,567.2184448242188,585.4859619140625,546.8653564453125,552.87451171875,1488692418,0.0,0.0
2024-04-16 00:00:00+00:00,552.8746948242188,554.1048583984375,524.2218627929688,537.829345703125,1299731119,0.0,0.0
2024-04-17 00:00:00+00:00,537.8313598632812,548.0428466796875,514.1128540039062,534.416015625,1411927485,0.0,0.0
2024-04-18 00:00:00+00:00,534.4149780273438,555.0400390625,527.4300537109375,552.172119140625,1439312699,0.0,0.0
2024-04-19 00:00:00+00:00,552.172119140625,564.5448608398438,525.0286254882812,554.8892822265625,1320094794,0.0,0.0
2024-04-20 00:00:00+00:00,554.8881225585938,574.0986938476562,549.800048828125,570.9605102539062,697007137,0.0,0.0
2024-04-21 00:00:00+00:00,570.9605102539062,582.2720336914062,567.1710815429688,579.6199340820312,782061076,0.0,0.0
2024-04-22 00:00:00+00:00,579.6146850585938,608.5170288085938,579.1416625976562,605.5755004882812,1300340623,0.0,0.0
2024-04-23 00:00:00+00:00,605.5755004882812,613.5433349609375,599.9375610351562,606.8406372070312,1380221181,0.0,0.0
2024-04-24 00:00:00+00:00,606.8406372070312,617.3051147460938,592.944091796875,608.0861206054688,1518718475,0.0,0.0
2024-04-25 00:00:00+00:00,608.0906372070312,617.8062133789062,601.7774658203125,614.0050048828125,1161642323,0.0,0.0
2024-04-26 00:00:00+00:00,614.0050048828125,614.834228515625,597.1796264648438,597.7054443359375,817787521,0.0,0.0
2024-04-27 00:00:00+00:00,597.7054443359375,599.2827758789062,586.1527099609375,595.7205200195312,781864034,0.0,0.0
2024-04-28 00:00:00+00:00,595.7205200195312,607.8242797851562,595.716552734375,600.0711669921875,681109845,0.0,0.0
2024-04-29 00:00:00+00:00,600.0711669921875,602.5989379882812,583.3385009765625,592.8312377929688,868114786,0.0,0.0
2024-04-30 00:00:00+00:00,592.831787109375,603.3228149414062,556.1708984375,578.488037109375,1727881192,0.0,0.0
2024-05-01 00:00:00+00:00,578.4874877929688,579.3329467773438,538.0464477539062,561.408203125,1502825527,0.0,0.0
2024-05-02 00:00:00+00:00,561.408203125,565.4573974609375,543.5223388671875,560.5267333984375,877449354,0.0,0.0
2024-05-03 00:00:00+00:00,560.5267333984375,590.2448120117188,559.4467163085938,587.0104370117188,854728192,0.0,0.0
2024-05-04 00:00:00+00:00,587.0184326171875,593.1934204101562,583.2993774414062,585.8465576171875,582273374,0.0,0.0
2024-05-05 00:00:00+00:00,585.8465576171875,594.9953002929688,580.2462768554688,592.140380859375,531182053,0.0,0.0
2024-05-06 00:00:00+00:00,592.139892578125,601.88671875,583.3734130859375,588.4759521484375,1522319999,0.0,0.0
2024-05-07 00:00:00+00:00,588.4759521484375,599.9354858398438,576.7245483398438,577.4862060546875,1535678414,0.0,0.0
2024-05-08 00:00:00+00:00,577.4862060546875,589.5725708007812,575.1480102539062,588.1974487304688,1603241013,0.0,0.0
2024-05-09 00:00:00+00:00,588.1974487304688,602.5897216796875,586.7303466796875,596.031982421875,1897318659,0.0,0.0
2024-05-10 00:00:00+00:00,596.0276489257812,596.5833740234375,582.0457763671875,585.6221923828125,1521708160,0.0,0.0
2024-05-11 00:00:00+00:00,585.6221923828125,594.20654296875,581.8966674804688,592.0278930664062,1333662111,0.0,0.0
2024-05-12 00:00:00+00:00,592.0291748046875,599.1841430664062,587.8043212890625,594.424560546875,1276671115,0.0,0.0
2024-05-13 00:00:00+00:00,594.424560546875,597.7680053710938,585.520751953125,591.60693359375,1636169234,0.0,0.0
2024-05-14 00:00:00+00:00,591.60693359375,592.8369750976562,563.4202270507812,566.70703125,1944063031,0.0,0.0
2024-05-15 00:00:00+00:00,566.70703125,587.4215087890625,561.1272583007812,582.0743408203125,1895100260,0.0,0.0
2024-05-16 00:00:00+00:00,582.1001586914062,586.4363403320312,565.7623291015625,569.1902465820312,1911862000,0.0,0.0
2024-05-17 00:00:00+00:00,569.1902465820312,584.666015625,568.8367309570312,581.1783447265625,1557134929,0.0,0.0
2024-05-18 00:00:00+00:00,581.1783447265625,581.9871826171875,575.0185546875,580.4811401367188,1358737176,0.0,0.0
2024-05-19 00:00:00+00:00,580.4815673828125,581.876708984375,572.36962890625,574.6316528320312,1298887094,0.0,0.0
2024-05-20 00:00:00+00:00,574.6316528320312,601.5638427734375,569.5235595703125,600.6163330078125,2145457267,0.0,0.0
2024-05-21 00:00:00+00:00,600.60107421875,629.861083984375,593.9327392578125,618.4204711914062,3564986916,0.0,0.0
2024-05-22 00:00:00+00:00,618.4204711914062,625.5662841796875,610.5460205078125,614.671875,2138536549,0.0,0.0
